"filename", "language", "PHP", "PostCSS", "SQLite", "JavaScript", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\update_course.php", "PHP", 93, 0, 0, 0, 0, 9, 15, 117
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\update_section.php", "PHP", 72, 0, 0, 0, 0, 9, 14, 95
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\update_subject.php", "PHP", 55, 0, 0, 0, 0, 8, 14, 77
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\user_management.php", "PHP", 432, 0, 0, 0, 0, 5, 35, 472
"c:\xampp\htdocs\SUA-IntelliLearn\public\assests\js\script.js", "JavaScript", 0, 0, 0, 11, 0, 0, 6, 17
"c:\xampp\htdocs\SUA-IntelliLearn\public\assests\styles\style.css", "PostCSS", 0, 622, 0, 0, 0, 18, 101, 741
"c:\xampp\htdocs\SUA-IntelliLearn\public\login.php", "PHP", 182, 0, 0, 0, 0, 4, 42, 228
"c:\xampp\htdocs\SUA-IntelliLearn\public\logout.php", "PHP", 20, 0, 0, 0, 0, 11, 4, 35
"c:\xampp\htdocs\SUA-IntelliLearn\public\teacher\assets\api\search_students.php", "PHP", 74, 0, 0, 0, 0, 13, 11, 98
"c:\xampp\htdocs\SUA-IntelliLearn\public\teacher\assets\api\student_lookup.php", "PHP", 105, 0, 0, 0, 0, 27, 13, 145
"c:\xampp\htdocs\SUA-IntelliLearn\public\teacher\assets\css\dashboard.css", "PostCSS", 0, 313, 0, 0, 0, 30, 59, 402
"c:\xampp\htdocs\SUA-IntelliLearn\public\teacher\dashboard.php", "PHP", 292, 0, 0, 0, 0, 36, 36, 364
"c:\xampp\htdocs\SUA-IntelliLearn\students_PINAKAAAABAGOO.sql", "SQLite", 0, 0, 1365, 0, 0, 197, 98, 1660
"Total", "-", 10566, 5658, 1365, 1576, 1, 1725, 2746, 23637
